empresa,year,ventas,activos,precio_accion,numacciones,retorno_accion,utilidad,deuda
A,2023,6833000,10763000,139.03,293004.102,-.06637001,1350000,2735000
AA,2023,10551000,14155000,34,178471.908,-.27884579,-343000,1811000
AAOI,2023,217646,389186,19.32,35536.578,2.324564,-41349,82394
AAON,2023,1168518,941436,73.87,81244.857,.39107013,227494,38328
AAPL,2023,383285000,352583000,171.21,15634232,.22136545,114301000,111088000
ABBV,2023,54318000,134711000,154.97,1765537.421,-.0023508072,12757000,59385000
ABEO,2023,3500,64002,5.01,24773.317,.48650634,-47135,5400
ABT,2023,40109000,73214000,110.07,1736058.536,.022354603,6478000,14679000
ACA,2023,2307900,3577900,82.64,48759.966,.42227077,217300,568700
ACAD,2023,726437,748956,31.31,164180.377,.67636132,-73379,47800
ACCO,2023,1832800,2644800,6.08,94925.652,.14239585,44700,1016200
ACLS,2023,1130604,1281967,129.69,32747.459,.49115276,265795,91393
ACLX,2023,110319,825132,55.5,48686.187,.58304143,-89880,97625
ACMR,2023,557723,1490908,19.54,60607.795,.92994547,95839,99096
ACNT,2023,193179,163295,9.56,10125.533,.097718954,-37430,32828
ACU,2023,191500.947,149241.316,42.86,3585.07,.69421864,13188.617,15649.293
ADI,2023,12305539,48794478,198.56,496261.678,.20990658,3823112,6948733
ADM,2023,93935000,54631000,72.22,533381.255,-.22838354,3715000,9596000
ADMA,2023,258215,329182,4.52,225967.668,.15267682,21632,141418
ADPT,2023,170276,661134,4.9,144772.751,-.44416249,-227035,98772
ADTN,2023,1149100,1682512,7.34,78698.999,-.91320848,-221271,195000
AEHR,2023,64961,98143,41.25,28338.209,1.7047482,13375,6300
AEIS,2023,1655810,2556757,108.92,37280.657,.24289083,113694,1022753
AGCO,2023,14412400,11421200,121.41,74879.93700000001,-.082298279,1700400,1526600
AGEN,2023,156314,313913,.8279,381495.471,-1.0643318,-159549,78012
AGIO,2023,26823,937118,22.27,55891.284,-.23181701,-391487,71996
AIN,2023,1147909,1835014,98.22,31200,.0073261261,167894,456885
AIP,2023,53666,102801,5.89,36854.383,.31464088,-35142,4391
AIR,2023,1990500,1833100,57.76,34934.957,.32244349,133900,317900
AIRI,2023,51516,50715,3.25,3303.045,-.26826394,-295,25772
AKBA,2023,194623,241703,1.24,188389.415,.76502436,-46256,43630
AKYA,2023,96633,180369,4.88,49076.173,-.6734879,-57668,85706
ALB,2023,9617203,18270652,144.48,117353.272,-.39744902,251881,4166763
ALEC,2023,97062,621827,7.98,84136.38099999991,-.14552069,-151740,38918
ALG,2023,1689651,1409386,210.19,12011.781,.40008211,197967,235277
ALGM,2023,1049367,1530603,26.96,193125.832,-.57663846,196244,275207
ALGN,2023,3862260,6083877,274,76589.114,.26174402,643338,96968
ALIM,2023,80754,153524,4.32,52416.841,.46630675,-1932,64683
ALLO,2023,95,642837,3.21,168276.662,-.67269015,-327737,0
ALNT,2023,578634,597542,30.21,16211.259,-.13818407,42314,218402
ALNY,2023,1828292,3829880,191.41,125492.927,-.21638107,-282175,1305387
ALOT,2023,148086,133251,17.82,7432.799,.24090719,8796,24300
ALSN,2023,3035000,5025000,58.15,89484.712,.35284448,919000,2503000
ALTO,2023,1222940,454241,2.66,76139.10000000001,-.079464138,-23848,105459
ALV,2023,10475000,8332000,110.19,84148.33199999989,.39198875,690000,2036000
AMAT,2023,26517000,30729000,162.07,831067.105,.51863384,7654000,5561000
AMBA,2023,226474,657655,50.77,40962.191,-.42193937,-154560,5339
AMD,2023,22680000,67885000,147.41,1615498.891,.8223753,401000,3003000
AME,2023,6596950,15023533,164.89,230798.657,.172328,1707459,3313347
AMGN,2023,28190000,97154000,288.02,535178.027,.12631845,7897000,64613000
AMKR,2023,6503065,6771125,33.27,245768.114,.33875275,470287,1293909
AMLX,2023,380786,517454,14.72,67517.753,-.92035866,38802,4237
AMPH,2023,644395,1512912,61.85,47907.411,.79179335,196987,623642
AMRX,2023,2393607,3472569,6.07,306544.199,1.1152239,204374,2750523
AMSC,2023,145639,232771,13.51,30736.347,1.0121564,-11368,2709
AMTX,2023,186717,243406,5.24,39451.266,.28007746,-37401,296910
AMWD,2023,2066200,1518798,76.37,16376.579,.52870512,136352,477807
ANAB,2023,17157,452389,21.42,26575.178,-.36933947,-164411,17814
ANET,2023,5860168,9946806,235.51,311100.142,.66307449,2257249,0
ANGO,2023,338752,532637,10.43,39236.422,-.61800623,-51181,49818
ANIK,2023,166662,270632,22.66,14640.886,-.26717329,-87639,26904
ANIX,2023,210,25522,3.88,31070.022,-.091083765,-11011,175
ANL,2023,5890,130189,8.99,110700.805,,-67551,1191
AOS,2023,3852800,3213900,82.44,148720.428,.38727808,738600,155200
AOSL,2023,691321,1199737,32.8,27488.761,-.016329527,22529,78804
AP,2023,422340,565654,2.73,19865.749,.084018886,-34574,133421
APD,2023,12600000,32002500,283.4,222148.761,.22054577,2494600,10936900
APH,2023,12554700,16526400,99.13,598310.231,.27383661,2559600,4337300
APLS,2023,396591,788730,59.86,118499.945,.1463573,-517121,426575
APLT,2023,9993,54833,3.35,77229.20699999989,1.4833971,-64535,467
APOG,2023,1416942,884064,59.2,22085.098,.33526301,133833,106193
APRE,2023,583.231,22650.174,4.7,3736.673,-.34253287,-15471.963,0
APYX,2023,52349,79240,2.62,34643.855,.1130234,-17259,38501
AQMS,2023,25,33600,.76,107811.467,-.49758038,-24464,310
AQST,2023,50583,57418,2.02,66767.283,.80612743,-15102,33319
ARAY,2023,447605,479214,3.87,95751.773,.68031007,2382,205036
ARDX,2023,124456,297579,6.2,232137.709,.77723038,-63276,55982
ARHS,2023,1287704,1114094,11.85,140282.906,.19506049,164311,462929
ARLO,2023,491176,285538,9.52,94628.607,.99777877,-24903,17021
ARMP,2023,4529,98363,3.24,36146.574,.96046197,-40890,120371
ARQT,2023,59606,341365,3.23,94382.07399999991,-1.5221452,-241101,205916
ARRY,2023,1576551,1706741,16.8,151216.48,-.14027929,214124,682420
ARTW,2023,30280.957,24402.114,2.07,5009.574,.070028603,1531.2411,8146.0029
ARVN,2023,78500,1304600,41.16,55025.504,.18494892,-401500,3200
ARWR,2023,240735,765552,26.87,107192.901,-.20701122,-205002,115171
ASIX,2023,1533599,1496020,29.96,26953.68,-.21961427,69550,266014
ASPI,2023,433.026,27541.913,1.79,48773.276,.12479076,-16041.999,2142.6399
ASTC,2023,750,47675,14.16,1684.556,.093193769,-11060,607
ASTE,2023,1338200,1059300,37.2,22739.296,-.076130867,48600,83100
ASXC,2023,8577,59086,.3189,264316.749,-.084735394,-79468,5682
ASYS,2023,113315,137021,7.62,14167.351,-.10928988,-14970,22204
ATAI,2023,314,293478,1.41,166010.476,-.63473642,-125471,19142
ATEC,2023,482262,805208,15.11,136300.664,.20170069,-173395,541679
ATEN,2023,251700,389809,13.17,74138.224,-.21605372,38648,0
ATI,2023,4173700,4985100,45.47,127577.212,.42053294,466400,2179600
ATKR,2023,3518761,2935009,149.19,37793.835,.65095043,893491,884434
ATMU,2023,1628100,1088600,23.49,83297.796,,248400,600000
ATNM,2023,81,81445,5.08,27413.441,-.74024856,-51920,10066
ATR,2023,3487450,4451890,123.62,65781.269,.13010025,404019,1184675
ATRC,2023,399245,613932,35.69,47395.082,-.2179184,-26683,71187
ATRI,2023,169326,260825,378.79,1759.836,-.36997223,22579,0
ATRO,2023,689206,633792,17.42,33940.478,.52547526,-6671,197678
AVAV,2023,540536,824577,102.28,26214.677,.21855879,-178663,162822
AVD,2023,579371,767548,10.97,28750.439,-.6742928,23295,162094
AVGO,2023,35819000,72861000,1116.25,468140.569,.71385264,16207000,39229000
AVNS,2023,673300,1692400,22.43,46425.569,-.18765736,4200,209100
AVNT,2023,3142800,5968500,41.57,91161.436,.23409963,196800,2139800
AVNW,2023,346593,364496,33.37,11440.689,.28718281,26409,10166
AVTR,2023,6967200,12972700,22.83,676386.215,.079276323,696400,5586800
AVY,2023,8364300,8209800,202.16,80531.27800000001,.12803173,782900,3244300
AWH,2023,9154,6262,4.08,10336.834,-.2011385,-18852,2852
AWI,2023,1295200,1672400,98.31999999999989,44180.285,.37408018,234400,640400
AXGN,2023,159012,196827,6.83,43043.606,-.37925839,-21462,69292
AXL,2023,6079500,5356300,8.81,117061.048,.11920285,146600,2886300
AXNX,2023,366379,719923,62.23,50662.028,-.0048093796,-26057,0
AXON,2023,1563391,3436845,258.33,74933.83100000001,.44267178,154789,710663
AXSM,2023,270600,588236,79.59,47319.547,.031395912,-231825,186372
AXTA,2023,5184100,7272100,33.97,220083.039,.2879765,587500,3504200
AYI,2023,3952200,3408500,170.31,31192.406,.081433296,473400,590800
AZEK,2023,1370316,2365554,29.74,149359.873,.58188629,131177,586525
AZTA,2023,665072,2885720,50.19,60153.892,.15787673,-73126,60436
B,2023,1450871,3308014,32.63,50674.896,-.20671964,88992,1290846
BA,2023,77794000,137012000,260.66,604976.797,.31361675,-773000,52307000
BALL,2023,14029000,19303000,57.52,315301.214,.1323278,1273000,8569000
BAX,2023,14813000,28276000,38.66,507323.509,-.24725533,390000,14236000
BBIO,2023,9303,546380,40.37,173967.052,1.6673107,-607370,1739838
BC,2023,6401400,6230500,96.75,68812.648,.31405544,734900,2564300
BCPC,2023,922439,1597211,148.75,32241.056,.20540476,159193,346911
BCRX,2023,331412,516960,5.99,204809.38,-.65051496,-103709,848713
BDC,2023,2512084,3240191,77.25,41681.61,.074094772,317518,1279152
BDX,2023,19372000,52780000,258.53,290108.574,.16321039,2111000,15879000
BE,2023,1333470,2413677,14.8,209421.735,-.25610757,-208907,1453613
BEAM,2023,377709,1459714,27.22,81504.057,-.36242628,-176485,282577
BELFB,2023,639813,571631,66.77,12772.349,.71387458,87976,80562
BERY,2023,12664000,16587000,61.91,118100,.30218029,1079000,9505000
BFLY,2023,65900,304274,1.08,207123.518,-.82320029,-145610,22835
BFRG,2023,65,2776.586,3.26,6094.644,,-5367.5239,0
BF_B,2023,4228000,7777000,66.78,479364.507,-.04937458,1127000,2913000
BGS,2023,2062313,3463290,10.5,78624.41899999991,.0033347607,80419,2117547
BHE,2023,2838976,2274755,27.64,35681.851,.061337948,109664,454342
BIIB,2023,9835600,26844800,258.77,144898.112,-.067789078,1612300,6938200
BIO,2023,2671262,12299070,322.89,29145.17,-.26410866,337796,1405395
BIRD,2023,254065,312705,1.225,152851.509,-.6808269,-153003,93949
BKTI,2023,74094,49408,12.2293,3455.499,-.30556798,-777,8332
BLBD,2023,1132793,417766,21.35,32146.329,.93879032,51657,131914
BLFS,2023,143271,412714,16.25,44031.322,-.1133287,-70825,42691
BLNK,2023,140598,428519,3.39,67407.973,-1.1743343,-199688,17940
BMI,2023,703592,716919,154.37,29346.874,.35475731,118049,0
BMRN,2023,2419226,6841603,96.42,188368.171,-.070761204,158097,1086972
BMY,2023,45006000,95159000,51.31,2034757.742,-.30306506,7282000,39772000
BOF,2023,2825.855,3125.098,1.21,4044.252,,-3502.158,366.42999
BOOM,2023,719188,884495,18.82,19761.581,-.032412767,61177,115851
BPMC,2023,249380,1049250,92.2399999999999,60789.712,.74453187,-486277,774122
BPT,2023,6640,5302,2.47,21400,-1.5295777,5313,0
BRBR,2023,1666800,691600,41.23,38887.852,.69338965,287300,856800
BRC,2023,1331863,1389257,54.92,48363.811,.29407859,225213,80659
BRID,2023,251636,166998,11,9076.832,-.080322266,4629,7401
BRKR,2023,2964500,4249900,73.48,138411.212,.075325489,436900,1356300
BRLT,2023,446382,273583,3.72,97086.932,-.14721417,4482,119757
BSET,2023,390136,370424,16.6,8819.992,-.0038378239,-3135,116184
BSX,2023,14240000,35136000,57.81,1464982.777,.22266793,2343000,9102000
BWA,2023,14198000,14453000,35.85,235055.429,-.10279298,1160000,3780000
BWEN,2023,203477,135156,2.77,21417.335,.43663174,11139,35417
BWXT,2023,2496309,2747065,76.73,91512.788,.29170465,332252,1209672
BYND,2023,343376,774450,8.9,64540.906,-.32436061,-341898,1216867
BYSI,2023,1751,24808,.9,39029.163,-.73663229,-23114,3995
CAG,2023,12277000,22052600,33.72,477060.396,.021100521,1099500,9238700
CAL,2023,2817294,1804746,41.03,35150.019,.64983249,194455,747861
CAPR,2023,25178.066,58734.327,4.89,30792.869,.23652506,-24077.859,5612.1538
CARM,2023,14919,89554,2.93,40356.806,-1.396488,-88731,3123
CARR,2023,22098000,32822000,57.45,839046.579,.34690022,2296000,14684000
CAT,2023,67060000,87476000,295.67,499377.269,.23070526,13996000,37878000
CBAY,2023,31073,434686,23.62,113403.353,1.3263175,-101679,5315
CBT,2023,3931000,3604000,69.27,55936.984,.10215569,526000,1276000
CC,2023,6027000,8251000,31.54,148438.276,.063277006,-245000,4244000
CCCC,2023,20756,376451,5.65,49281.046,-.043296695,-139031,70976
CCK,2023,12010000,15034000,92.09,120646.389,.1247859,1269000,7694000
CDMO,2023,149266,451567,13.97,62729.154,-.088322878,3601,189233
CDRE,2023,482532,431179,32.89,37586.031,.50396657,56519,143318
CDTX,2023,63905,67030,.794,90433.777,.048645258,-24483,4877
CDXC,2023,83570,54964,1.43,75124.41800000001,-.16111937,-5599,3277
CDXS,2023,70143,136561,3.05,69830.19899999991,-.42387378,-68069,22364
CE,2023,10940000,26597000,155.37,108855.167,.44266844,1687000,14009000
CECO,2023,544845,600291,20.28,34812.539,.55432892,34569,148700
CELH,2023,1318014,1536396,54.52,231675.021,.4524045,266366,2187
CENX,2023,2185400,1846500,12.14,92404.663,.39481354,31800,479200
CERS,2023,156367,197748,2.16,181197,-.52461898,-30053,95999
CF,2023,6631000,14376000,79.5,191056.501,-.048614979,2238000,3232000
CGNX,2023,837547,2017812,41.74,172142.092,-.11472964,130702,78601
CHD,2023,5867900,8569200,94.56,246381.732,.17156029,1057400,2406000
CHPT,2023,506639,1103363,1.9,423359.511,-1.7066603,-449951,301054
CHRS,2023,257244,629604,3.33,111364.152,-.86641896,-203199,473369
CHX,2023,3758285,3241702,29.21,194800,.018486261,493642,665753
CIEN,2023,4386549,5601495,45.01,144830.337,-.12454867,357545,1605020
CIX,2023,161287,187604,25.28,12313.757,.3619895,25435,0
CL,2023,19457000,16393000,79.70999999999989,823372.259,.037129879,3984000,8549000
CLAR,2023,286020,495338,6.895,38149.409,-.11506271,-21107,119790
CLDX,2023,6883,465627,39.66,47264.197,-.11671782,-154542,2542
CLFD,2023,268720,355517,28.66,15261.809,-1.2950237,37287,16478
CLIR,2023,2403,7620,1.11,38565.836,.72798109,-5981,243
CLRO,2023,18704,50694,1.0814,23960.684,.23686153,-6772,665
CLW,2023,2082800,1671800,36.12,16563.343,-.045726776,177100,463100
CLX,2023,7389000,5945000,159.04,123623.524,.15257025,408000,2924000
CMC,2023,8799533,6639094,49.41,116786.346,.3440547,1162094,1154797
CMCO,2023,1013540,1825945,44.63,28755.978,.19078898,107148,530236
CMI,2023,34065000,32005000,239.57,141744.863,.017045498,1761000,7916000
CMRX,2023,324,212774,.9625,88891.3,-.65879774,-93065,1302
CMT,2023,357738,213377,18.53,9040.704,.35521126,26537,22987
CMTL,2023,549994,996237,8.75,27884.09,-.11720324,-14660,216180
CNMD,2023,1244744,2300021,109.51,30752.199,.21876192,120603,973848
COCO,2023,493612,285682,25.65,56756.005,.6184268,56493,26
CODI,2023,2058876,3816981,22.45,71820.329,.25755882,90069,1671879
CODX,2023,6812.038,95320.66,1.33,30580.904,-.63907993,-42706.234,2990.5669
COHR,2023,5160100,13711133,50.98,139377.779,.00058865547,-68686,4488817
COHU,2023,636322,1150352,35.39,47505.132,.099132299,43272,53802
COKE,2023,6653858,4288942,928.4,9373.689,.60387325,834451,735143
COLL,2023,566767,1143308,30.78,32610.873,.28271294,166961,674283
COLM,2023,3487203,2939013,79.54000000000001,60507.773,-.081064701,310284,71086
COO,2023,3593200,11658900,378.44,49525.982,.1351018,533100,2569200
COOK,2023,605882,860759,2.73,125809.285,-.032435179,-55447,458700
COP,2023,58574000,95924000,116.07,1187407.942,.019637585,17445000,18937000
CORT,2023,482375,621517,32.48,103081.357,.46951103,107282,151
COTY,2023,5554100,12661600,12.29,852796.812,.4280951,543700,4549200
COYA,2023,6002.206,41262.274,7.41,10030.436,.44719434,-7903.3491,0
CPB,2023,9357000,12058000,41.08,297945.22,-.1081028,1312000,4689000
CPIX,2023,39552.507,81776.075,1.7917,14255.7,-.22776532,-9554.6602,18428.482
CPRX,2023,398204,470114,16.81,106611.456,-.10118747,86812,3188
CPS,2023,2815879,1872299,19.54,17197.479,.7685945,46031,1190507
CPSH,2023,27550.646,21602.116,2.35,14519.215,-.13512582,1699.3633,386.88699
CR,2023,1391300,2129400,118.14,56803.152,.17231894,286800,644900
CRBU,2023,34477,432209,5.73,88431.136,-.091654539,-116059,27108
CRCT,2023,765147,750122,6.59,219167.021,-.22473192,69985,14168
CRDF,2023,488,81637,1.48,44677.169,.055569857,-45412,2149
CRI,2023,2945594,2378613,74.89,36824.808,.047645092,323405,1081533
CRIS,2023,10023,77282,12.75,5883.063,.14763594,-48332,2794
CRNX,2023,4013,635353,35.58,66799.257,.66488266,-222608,51728
CROX,2023,3962347,4643834,93.41,60566.623,-.1491065,1036783,1996360
CRS,2023,2550300,3053900,56.13,48550.179,.71734452,133100,693000
CRSR,2023,1459875,1357463,14.1,102978.569,.038313389,9689,198196
CRUS,2023,1788890,2231576,92.56,53934.984,-.16697073,343466,196289
CRVO,2023,7144.872,9972.521000000001,7.63,5674.52,.0057899952,-7812.895,0
CRWS,2023,87632,82706,5.1,10240.719,-.059277296,6895,23837
CSBR,2023,53870,34311,6.38,13558.65,-.22628582,-5256,8744
CSCO,2023,56998000,101852000,53.76,4054857.783,.32789207,15031000,8391000
CSL,2023,4586900,6620000,312.43,48683.404,.29460716,982800,2289400
CSWI,2023,792840,1043326,234.6,15532.472,.5284338,159118,166000
CTAS,2023,8815769,8546356,497.08,101741.564,.29602575,1802664,2668393
CTHR,2023,29946.234,48884.088,.955,30523.705,-.24489474,-13976.021,2927.8679
CTKB,2023,193015,494457,9.11999999999999,135549.154,-.11289787,-27845,11127
CTLT,2023,4263000,10777000,43.36,180271.741,-.90599823,-163000,4849000
CTMX,2023,101214,201792,1.55,66988.90399999989,-.031748712,-6484,13974
CTS,2023,550422,741167,43.74,31158.03,.107759,75051,96859
CTSO,2023,36349.379,53260.634,1.11,44438.509,-.33389491,-31209.252,18313.152
CULP,2023,234934,152183,4.97,12311.583,.14480472,-28478,6252
CVCO,2023,1794792,1354160,399.06,8346.618,.22787857,178982,35148
CVGI,2023,994679,483214,7.01,33707.07,.028945684,48060,173433
CVI,2023,9247000,4707000,30.3,100530.599,.1089704,1123000,2185000
CVR,2023,31507.722,27830.905,16.98,966.131999999999,-.49452901,-5837.2461,0
CVRX,2023,39295,115229,31.44,20815.635,.53845143,-43103,30382
CVU,2023,86466.321,74360.132,2.73,12672.406,-.15884912,6307.0049,25210.609
CVV,2023,24109,35025,4.43,6824.511,-.21816504,-4881,349
CVX,2023,200949000,261632000,149.16,1887748.665,-.14656115,30265000,20836000
CW,2023,2845373,4620969,222.79,38241.218,.29249763,484602,1168973
CYRX,2023,233255,957744,15.49,48963.717,-.11339784,-115157,416003
CYTK,2023,7530,824316,83.4899999999999,98053.647,.60000634,-496205,755771
DAIO,2023,28064,27401,2.94,9020.798000000001,-.30035651,448,702
DAKT,2023,754196,468104,6.4,45703.283,.75435793,21388,17750
DAN,2023,10555000,7965000,14.61,144338.152,-.0073292255,316000,2981000
DAR,2023,6788080,11061084,49.84,159532.286,-.22778797,949726,4637301
DARE,2023,2807.885,21282.215,.309,98562.344,-.98808444,-30939.881,1404.469
DCI,2023,3430800,2770500,59.64,121242.187,.21204209,480200,655700
DCO,2023,756992,1120919,52.06,14596.379,.041174173,28917,295594
DD,2023,12068000,38552000,76.93000000000001,430042.492,.1341548,747000,7800000
DE,2023,61251000,104087000,399.87,280255.442,-.056359291,15472000,63411000
DECK,2023,4287763,3135579,941.26,25668.22,.73897219,927514,266879
DELL,2023,88425000,82089000,114.11,713790.335,1.068686,5211000,41312000
DGII,2023,444849,835531,27,35969.438,-.24714923,50095,220915
DHR,2023,23890000,84488000,231.34,738927.107,-.13291645,5202000,18402000
DIOD,2023,1661739,2367659,80.52,45938.233,.055931568,250571,62083
DK,2023,16917400,7171800,25.8,63933.521,-.0078642368,279900,2765700
DLX,2023,2192260,3080622,21.45,43692.545,.29947948,160791,1651691
DNA,2023,251455,1665342,1.69,1998436.556,0,-864406,221835
DNLI,2023,330531,1153917,21.46,138196.848,-.25920486,-196699,44981
DNOW,2023,2321000,1529000,11.32,106331.159,-.11503077,140000,30000
DNTH,2023,2826,179405,10.4,14817.762,.49808645,-48174,585
DORM,2023,1929788,2292407,83.41,31488.115,.030925274,214760,666886
DOV,2023,8438134,11348513,153.81,139890.144,.141644,1366343,3460041
DOW,2023,44622000,57967000,54.84,702293.433,.13720465,1572000,16447000
DRQ,2023,424060,1028181,23.27,34183.053,-.15494847,5280,16672
DRS,2023,2826000,3921000,20.04,262370.008,.44984889,231000,406000
DTC,2023,494776,659318,6.16,90851.09299999991,.50435305,-227850,173891
DVAX,2023,232284,997096,13.98,129260.85,.27300739,-37028,252418
DXCM,2023,3622300,6264500,124.09,386373.935,.091497898,597700,2535400
DXYN,2023,276343,191169,.7445000000000001,15547.163,-.050419837,5048,112081
EAF,2023,620500,1288889,2.19,256807.9,-.77231407,-214437,925645
EBF,2023,420109,399190,20.51,25874.699,.019501448,56459,9574
ECL,2023,15320200,21846600,198.35,285139.82,.32167578,1992300,8607300
ECOR,2023,16030,16102,5.9519,6002.42,.43531275,-19269,626
ECVT,2023,691118,1837751,9.77,116116.895,.097769737,96650,892169
EDIT,2023,78123,499153,10.13,81673.68799999989,.13282633,-169181,36536
EFOI,2023,5717,10200,1.51,4348.69,-.37861785,-3971,2344
EL,2023,15910000,23415000,196.38,357413.019,-.24844074,1509000,10169000
ELAB,2023,1712.595,5189.918,1.8282,17329.615,,-3669.072,210.489
ELAN,2023,4417000,14362000,14.9,492798.113,.19828725,-843000,5774000
ELF,2023,1023932,1129247,196.03,55506.934,.86728954,149678,283585
ELMD,2023,48067,45806,10.71,8561.1,.1052568,4008,0
ELSE,2023,8555,14445,3.8,3428.021,-.17351091,-28,0
ELUT,2023,24745,43428,2.16,23197.552,-.67681074,-30526,23677
EMBC,2023,1120800,1214400,15.05,57303.556,-.62423587,221500,1638500
EML,2023,273454.857,252039.201,22,6238.413,.15520597,15183.329,62082.293
EMN,2023,9210000,14633000,89.81999999999989,117343.761,.1367898,1302000,4846000
EMR,2023,15165000,42746000,96.56999999999989,571500,.30026817,3402000,8157000
ENOV,2023,1707197,4509334,56.02,54594.143,.045653343,-65709,466164
ENPH,2023,2290786,3383012,132.14,136551.216,-.69571686,445741,1293738
ENR,2023,2959700,4509600,32.04,71485.205,.27735472,400000,3454600
ENS,2023,3581871,3466006,94.45999999999989,40415.975,.092442513,351570,833293
ENTA,2023,79204,462275,11.17,21055.392,-1.5355089,-137207,26513
ENTG,2023,3523926,8812591,119.82,150158.883,.60725117,499158,4646127
ENVX,2023,7644,564304,12.52,167774.133,.0064101219,-230255,190610
EOLS,2023,202085,188998,10.53,57150.722,.33799291,-49233,126546
EPAC,2023,598204,762597,26.43,56103.724,.39554858,83922,214087
EPC,2023,2251600,3740700,36.96,50811.891,.0029177666,227000,1380200
EQ,2023,36084,50530,.723,35119.248,-.38261497,-14522,824
ERII,2023,128349,252974,18.84,56517.933,-.083954811,19050,0
ESAB,2023,2774766,3828629,86.62,60271.072,.61640525,404166,1018057
ESCA,2023,263566,253005,20.09,13736.8,.71279669,17811,50896
ESE,2023,956033,1683214,104.44,25782.563,.35578346,127716,138554
ESI,2023,2333200,4974100,23.14,241516.314,.25667286,173600,1932500
ESP,2023,35592.323,47501.523,16.745,2702.633,.17259717,4300.0142,0
ESPR,2023,116334,205796,2.99,113717.785,-.73410296,-155563,266169
ETD,2023,791382,745453,28.28,25356.462,.40274286,137196,130346
ETN,2023,23196000,38432000,240.82,399300,.44611883,3885000,9802000
ETON,2023,31642,31740,4.38,25658.396,.44031191,-1192,5402
EW,2023,6004800,9363200,76.25,606500,.021742821,1534100,694900
EXEL,2023,1830208,2942357,23.99,310974.113,.40255141,170885,189944
EXP,2023,2259297,2947019,271.75,34450.244,.6213665,625526,1120235
EXTR,2023,1312454,1141707,26.05,128997.325,1.071722,108313,264609
EYE,2023,2126468,2172511,20.93,78245.61900000001,-.61620522,-46826,923457
EYPT,2023,46018,355184,23.11,35309.432,1.8875026,-75067,4906
F,2023,176191000,273310000,12.19,4002954.437,.14687324,5458000,149231008
FARO,2023,358831,504692,22.53,18954.257,-.26648712,-49536,129586
FATE,2023,63533,506217,3.74,98601.966,-.9924593,-190511,103536
FBIN,2023,4626200,6565000,76.14,126094.963,.30194378,614900,2813400
FCEL,2023,123394,955520,1.6,451804.288,-.55244732,-136084,19658
FDMT,2023,20723,339891,20.26,42753.607,-.09189415,-112867,14671
FEIM,2023,40777,74496,6.62,9353.440000000001,.054956317,-4672,7636
FELE,2023,2065133,1728122,96.65000000000001,46128.126,.20192814,262441,156276
FEMY,2023,1071.97,27755.825,.975,21649.623,.080042705,-14508.415,6700.8818
FET,2023,738864,821061,22.17,10192.978,-.28565025,20716,192203
FF,2023,368250,367081,6.08,43763.243,-.25854397,27368,0
FFIV,2023,2813169,5248333,161.14,59306.423,.10740376,472568,239565
FGI,2023,117241.604,65744.92999999991,1.64,9500,-.27077159,2304.4412,22229.625
FIGS,2023,545646,473209,6.95,169134.896,.032166481,34045,47114
FIZZ,2023,1172932,574342,48.35,93353.546,-.01212883,186684,41527
FLNC,2023,2217978,1352149,22.99,177093.776,.45472288,-112609,50563
FLO,2023,5090830,3426953,22.51,211120.226,-.20615411,172870,1332645
FLS,2023,4320577,5108719,41.22,131208.631,.31711507,315659,1404597
